unit_id,mean_degree,clustering_coef,weighted_clustering_coef,fraction_long_edges,weighted_fraction_long_edges,country,unit
"""47007""",37.1656785326956,0.0460868446532011,0.0796710013393288,0.206302397214395,0.391914522503089,US,county
"""54039""",43.9222853421519,0.0349797285552918,0.0698220279918764,0.214888302347691,0.374324679764558,US,county
"""51800""",48.0454605499015,0.0406415864734396,0.0722176264552607,0.215181505844894,0.385878884087337,US,county
"""02180""",57.4128450222864,0.128639181578373,0.181480747949669,0.0881555407186922,0.254013097733419,US,county
"""37083""",57.4598892533064,0.0534913651965241,0.0911564697516133,0.136715457397566,0.308991753408884,US,county
"""19167""",24.8296672511256,0.0395728729363525,0.0759263266448957,0.278028933514352,0.479295530442205,US,county
"""20031""",37.7716746800034,0.0443439147139569,0.0806031363279531,0.214067557928734,0.374336176429307,US,county
"""41043""",28.5525506005275,0.0317044609569061,0.0709675118326977,0.307699661966004,0.451343961023368,US,county
"""39027""",39.4996078674267,0.0361970503037246,0.074583518158123,0.222241106222733,0.363516616334541,US,county
"""08091""",28.9493257541651,0.0293634143320557,0.0561897613164144,0.354500502407956,0.52891250934899,US,county
"""30045""",34.712606712451,0.0334499153465385,0.0668066694029564,0.250598287551064,0.435798581807192,US,county
"""29061""",37.0666284917771,0.047880325229305,0.0859484107390481,0.207017086578066,0.362798666129679,US,county
"""36071""",35.8745056723137,0.0369310081615769,0.0712165099683327,0.253909281275484,0.431145471623872,US,county
"""21035""",38.533115640377,0.0357631173325114,0.0698770319507144,0.226209751426982,0.392840022647442,US,county
"""21117""",35.5332511557067,0.0347472020112975,0.0718259120804076,0.266504645969009,0.413993156999138,US,county
"""06065""",24.6056866888176,0.0340308526417428,0.0742766986065231,0.335711405470535,0.503248774706911,US,county
"""51173""",36.2285541766205,0.0390066724542804,0.0744258697993163,0.216412469412328,0.401963526791511,US,county
"""13039""",39.2101200760336,0.0374599867316884,0.0719816059482864,0.252219344770031,0.401811748528017,US,county
"""39165""",35.8570336695563,0.0330401201426477,0.0687009462392587,0.268953994098439,0.420763772613129,US,county
"""13251""",44.7863872960609,0.0545281899896266,0.0900015872423538,0.169819510282064,0.361500495609518,US,county
"""27117""",29.1803923982979,0.0429297312954387,0.0788600414933608,0.247814297121808,0.435019523949459,US,county
"""55063""",28.643094539015,0.0329908722193825,0.0686477684011783,0.299282810251217,0.460877039789298,US,county
"""26119""",32.1463348957435,0.0403597144871928,0.0780810054909788,0.250821134293636,0.398982831500724,US,county
"""55035""",26.3998156377749,0.0329994570788575,0.0701592494232087,0.312775951899965,0.471114498864858,US,county
"""42089""",34.7075371379908,0.0319669756710168,0.0680948247839067,0.279291932693565,0.426920842818391,US,county
"""39115""",41.604673138977,0.0475495607929782,0.085774834375086,0.177852878749406,0.343627817969361,US,county
"""48367""",40.8261375513746,0.0307765687911589,0.0654462360135942,0.26500614313524,0.393102686135386,US,county
"""16003""",31.4179013012599,0.0357875216635888,0.0690247609406343,0.290553410796951,0.438744390107022,US,county
"""26145""",43.8736035239858,0.0404896986692816,0.077343952375891,0.196804766264338,0.353202034987876,US,county
"""46089""",35.1111096185159,0.0441230427182972,0.0803298464503238,0.23495631406805,0.374654654199675,US,county
"""12027""",32.8225627883255,0.0481716921148404,0.0863149683995136,0.236844353181966,0.420396895138078,US,county
"""19187""",33.9512198241058,0.0379191851309717,0.0757349030617431,0.234541304551443,0.405352354053655,US,county
"""23003""",37.0413350750741,0.047017660198552,0.0840593712085702,0.195366199844454,0.369859395116086,US,county
"""48023""",41.8911037126066,0.0518845256168306,0.088667203430061,0.184771925637934,0.356447901901142,US,county
"""25017""",25.2491135194389,0.0351594035380836,0.0713708892559275,0.314591385035424,0.526718343711283,US,county
"""37063""",33.1366552256257,0.0335689174158242,0.0672481986355702,0.275349334055194,0.501213869226005,US,county
"""35005""",30.0271802421362,0.0342606985648876,0.0753663592482556,0.272083281865838,0.427197321636756,US,county
"""51019""",39.8180307912863,0.0351113879583953,0.0685461096917607,0.245194761171439,0.389509473130295,US,county
"""48275""",45.8081388847517,0.0534828257381058,0.0948427472225425,0.16013167845481,0.324420860622794,US,county
"""26123""",32.9409782235692,0.0362828045638025,0.0768976718030679,0.255457852503914,0.393623831696409,US,county
"""51750""",30.6890061865221,0.0350458960361147,0.0713222597019293,0.270986512798985,0.452153640893995,US,county
"""48333""",42.3578175299006,0.0489899350269258,0.0842052829120585,0.202850336573637,0.362264600883738,US,county
"""48095""",42.1054150204649,0.0455835624085601,0.084893786023132,0.191673565215926,0.343910888873042,US,county
"""20059""",35.2069214976254,0.036563250651764,0.0740925474360892,0.247722791888169,0.391777372412798,US,county
"""20097""",34.2139168797837,0.0370306616570929,0.075468282845017,0.227792036296832,0.404011386744684,US,county
"""42129""",37.6509187777003,0.0331434642524234,0.0685889189977932,0.248405804144483,0.390479332883709,US,county
"""49023""",27.0176614265621,0.0409873986710316,0.0781078111176913,0.288641447526523,0.462330718442572,US,county
"""17117""",40.0036480932097,0.0440665374166568,0.0802877424147338,0.197739142595238,0.356042588387083,US,county
"""18119""",37.724637827096,0.0361248141637084,0.0755515262380072,0.231194219051088,0.361629650113867,US,county
"""28057""",47.4296468277161,0.045361364603023,0.0816251497009895,0.168146589118983,0.331899184180738,US,county
